City,Country
Itaporanga,Brazil
Mikhaylovsk,Russia
Hüremt,Mongolia
Zhongshanlu,China
Yuci,China
Newark,United States
Lugait,Philippines
Łąck,Poland
Baibu,China
Erpeldange,Luxembourg
Ajasse Ipo,Nigeria
Lypova Dolyna,Ukraine
Lianozovo,Russia
Bileća,Bosnia and Herzegovina
Pangkalanbunut,Indonesia
Esquel,Argentina
Dinahican,Philippines
San Juan Pueblo,Honduras
Froly,Russia
San Diego,United States
West Hartford,United States
Tong’an,China
Loučeň,Czech Republic
Shali,Russia
Sandakan,Malaysia
Ubon Ratchathani,Thailand
Tandel,Luxembourg
Selnica,Croatia
El Puente,Honduras
Opochka,Russia
Chicago,United States
Xiadian,China
Mari,Indonesia
Manola,Indonesia
Nykarleby,Finland
Eirado,Portugal
Krajan Bejagung,Indonesia
Aegela,Indonesia
Noisy-le-Grand,France
Sukorambi,Indonesia
Cambé,Brazil
Novouzensk,Russia
Yangjingziwan,China
Mayskiy,Russia
Nobo,Indonesia
San Isidro,Philippines
Baisha,China
Balad,Iraq
Ugra,Russia
Singojuruh,Indonesia
Nýdek,Czech Republic
Tushi,China
Cihampelas,Indonesia
Zanjān,Iran
Benešov nad Ploučnicí,Czech Republic
Nouakchott,Mauritania
Kota Kinabalu,Malaysia
Gedongmulyo,Indonesia
Rotterdam,Netherlands
Cijambe,Indonesia
Fenlu,China
Dembéni,Comoros
Talovyy,Russia
Seda,Lithuania
Antipolo,Philippines
Corbeil-Essonnes,France
Paço,Portugal
Zhanghekou,China
Chimoio,Mozambique
Jackson,United States
Lyubymivka,Ukraine
Saint-Quentin-Fallavier,France
Claremont,South Africa
Saint Pierre,Mauritius
Vol’nyy Aul,Russia
Xiluodu,China
Mankono,Ivory Coast
Angasmarca,Peru
Grevená,Greece
Hefu,China
Basing,Philippines
Tebluru,Indonesia
Cileunyi,Indonesia
Ouranoupolis,Greece
Babica,Poland
Junzhuang,China
Luanda,Angola
Quezon,Philippines
Wilcza,Poland
Lalauigan,Philippines
Lófos,Greece
Shizuishan,China
Rodas,Cuba
Khun Han,Thailand
Palma Soriano,Cuba
Erping,China
Ostrov,Czech Republic
Xinhua,China
Leeuwarden,Netherlands
Paccha,Peru
Xingzi,China
San Lorenzo,Argentina
Netanya,Israel
Trới,Vietnam
Ágios Vasíleios,Greece
Qinghaihu,China
Kinnegad,Ireland
Norrköping,Sweden
Baranovichi,Belarus
Cái Dầu,Vietnam
Karpogory,Russia
Dajin,China
San Isidro,Philippines
Diego de Almagro,Chile
Bačka Topola,Serbia
Qarqania,Syria
Ptení,Czech Republic
Ta’erqi,China
Fuyang,China
Goz Beïda,Chad
Kedungwaru,Indonesia
Puerto Rico,Peru
Limbuhan,Philippines
Artashat,Armenia
Tayuan,China
Schaan,Liechtenstein
Guli,China
Vecpiebalga,Latvia
Jalalaqsi,Somalia
Newport,United Kingdom
Hejiang,China
Undurkhaan,Mongolia
Elassóna,Greece
Rybno,Poland
Gävle,Sweden
Carabamba,Peru
Gigante,Colombia
Biggar,Canada
Fengxizhai,China
Bardalah,Palestinian Territory
Rockford,United States
Pandangan Kulon,Indonesia
Bobrovka,Russia
Weitian,China
Reguenga,Portugal
Могила,Macedonia
Machagai,Argentina
Kayapa,Philippines
Lajaluhur,Indonesia
Taverny,France
Hecheng,China
Karbunara e Vogël,Albania
Xiping,China
Sagae,Japan
Aracruz,Brazil
Cangqian,China
Rantauambacang,Indonesia
Xindi,China
Arţās,Palestinian Territory
Terra Chã,Portugal
Rusnė,Lithuania
Seremban,Malaysia
Herāt,Afghanistan
Inírida,Colombia
Thị Trấn Mường Lát,Vietnam
Kadubadak,Indonesia
Yeysk,Russia
Daji,China
Ouro Branco,Brazil
Xinchenglu,China
Xibër-Murrizë,Albania
São Mamede,Portugal
Wilmington,United States
Xichang,China
Baziqiao,China
Chociwel,Poland
Chengbei,China
Hallstahammar,Sweden
Lugait,Philippines
Pedregal,Panama
Changgou,China
San Ramón,Peru
San Miguelito,Panama
Libertad,Philippines
Nam Som,Thailand
Mosjøen,Norway
Chodów,Poland
Buraen,Indonesia
Drammen,Norway
Yamrat,Nigeria
Kiel,Germany
Kamyshevatskaya,Russia
Mała Wieś,Poland
Paranapanema,Brazil
Catayauan,Philippines
Jiayuguan,China
Kangshan,China
Siepraw,Poland
San Juan de Colón,Venezuela
Sabanalarga,Colombia
Ferraz de Vasconcelos,Brazil
Manat,Philippines
Riangbaring,Indonesia
Bom Sucesso,Portugal
Daliciasao,Philippines
Bafang,Cameroon
Palotina,Brazil
Pacasmayo,Peru
Bergen,Norway
Andoany,Madagascar
Udachny,Russia
Ambarita,Indonesia
Zhoujiaba,China
Thị Trấn Tân Yên,Vietnam
Xiabeisi,China
Totora,Bolivia
Limoges,France
Furudate,Japan
Huanghu,China
Munse,Indonesia
Za‘tarah,Palestinian Territory
Zhangxiang,China
Al Mazra‘ah ash Sharqīyah,Palestinian Territory
Newtown,United Kingdom
Kauditan,Indonesia
Jovim,Portugal
Fonte da Vaca,Portugal
Taketoyo,Japan
Ust’-Izhora,Russia
Westport,New Zealand
Babakanloa,Indonesia
Huanan,China
Fizuli,Azerbaijan
Desakolot,Indonesia
Contramaestre,Cuba
Vestmannaeyjar,Iceland
Bangunsari,Indonesia
Nguékhokh,Senegal
Lingyang,China
Terra Chã,Portugal
Penambangan,Indonesia
Dulovo,Bulgaria
Sanbaishan,China
Pendolo,Indonesia
Novokayakent,Russia
Qingping,China
Río Segundo,Argentina
Yanweigang,China
Hantai,China
Suizhong,China
Dietaisi,China
Neundeut,Indonesia
Tamorot,Morocco
Natakoli,Indonesia
Rio Negrinho,Brazil
Menol,Indonesia
Sundbyberg,Sweden
Mataquescuintla,Guatemala
Lere,Nigeria
Shoushan,China
Khemisset,Morocco
Tebon,Indonesia
Oxelösund,Sweden
Tessalit,Mali
Yingta,China
Huangguan,China
Talitsy,Russia
Monte Patria,Chile
Granada,Peru
Luoting,China
Gobernador Ingeniero Valentín Virasoro,Argentina
Lebak,Indonesia
Färjestaden,Sweden
Daweishan,China
Peñal,Trinidad and Tobago
Cipadung,Indonesia
Jinanten,Indonesia
Pilcaniyeu,Argentina
Shunling,China
Zhukovka,Russia
Honolulu,United States
Xinmatou,China
Lidingö,Sweden
Naranjal,Ecuador
Mabini,Philippines
Zblewo,Poland
São João das Lampas,Portugal
Nova Venécia,Brazil
Oklahoma City,United States
Ningshan Chengguanzhen,China
Capayán,Argentina
Carapelhos,Portugal
Mount Frere,South Africa
Pakemitan,Indonesia
Erátyra,Greece
Novo-Peredelkino,Russia
Orange,France
Palmeira,Brazil
Chochkan,Armenia
Kantemirovka,Russia
Roblin,Canada
Locminé,France
Dinjo,Indonesia
Baizhong,China
Zamość,Poland
Sułkowice,Poland
Punta Alta,Argentina
Sunan,North Korea
Xinan,China
Mestre,Italy
Kibuku,Uganda
Vũ Quang,Vietnam
Dikwa,Nigeria
Suvorovo,Bulgaria
Oleksandrivka,Ukraine
San José,Costa Rica
Ylöjärvi,Finland
Karangturi,Indonesia
Konary,Poland
Niushou,China
Ciudad Cortés,Costa Rica
Carvalhal,Portugal
Gunungputri,Indonesia
Sernovodsk,Russia
Murów,Poland
Koba,Indonesia
Haikoudajie,China
Listvyanskiy,Russia
Kapinango,Indonesia
Jiangning,China
Uzyn,Ukraine
Ciudad Bolivia,Venezuela
Ilaya,Philippines
Sremska Mitrovica,Serbia
Dolice,Poland
Yongqin,China
Bruzual,Venezuela
Camatagua,Venezuela
Daohe,China
Tufang,China
Liuhuang,China
Kolo,Indonesia
Toliara,Madagascar
Síkinos,Greece
Pasolapida,Indonesia
Pirapozinho,Brazil
Taihe,China
Tuamese,Indonesia
Slawharad,Belarus
Shibi,China
Shuangmiaojie,China
Nanxi,China
Xiaojian,China
Huancheng,China
Kao Liao,Thailand
Zhukovka,Russia
Kiruru,Indonesia
Söderköping,Sweden
Montecristi,Ecuador
Metchosin,Canada
Longtanping,China
Lagarto,Brazil
Jargalant,Mongolia
Barg-e Matāl,Afghanistan
Karmaskaly,Russia
Coxim,Brazil
Damayan,Philippines
Cape Town,South Africa
Nowa Sól,Poland
Avanca,Portugal
Ning’an,China
Campo Viera,Argentina
Banī Suwayf,Egypt
Sanzhou,China
São Gabriel,Brazil
Néa Karyá,Greece
Wołomin,Poland
Huanggang,China
Nanjing,China
Banī Zayd,Palestinian Territory
Jifeng,China
Alto de la Estancia,Panama
Saseel,Indonesia
San Carlos de Bolívar,Argentina
Thành Phố Uông Bí,Vietnam
Choushui,China
Rancho Viejo,Mexico
Kuala Lumpur,Malaysia
Sanhe,China
Bunog,Philippines
Rostov-na-Donu,Russia
Urpay,Peru
San Martín,Colombia
Yetang,China
Lysogorskaya,Russia
Bantarpanjang,Indonesia
Hatton,United Kingdom
Gharyan,Libya
Jūybār,Iran
Biting,Indonesia
Simimbaan,Philippines
Lavrica,Slovenia
Leskovec pri Krškem,Slovenia
Pho Si Suwan,Thailand
Gudauta,Georgia
Scranton,United States
São Sebastião,Portugal
Lutou,China
Wschowa,Poland
Oni,Indonesia
Jiling,China
Ersekë,Albania
Крушево,Macedonia
Normandin,Canada
Tocota,Peru
Richmond,South Africa
Il’inskiy Pogost,Russia
Jindřichův Hradec,Czech Republic
Neuquén,Argentina
Dongming Chengguanzhen,China
Ust’-Dzheguta,Russia
Cholpon-Ata,Kyrgyzstan
Al Ḩazm,Yemen
Anchang,China
Rila,Bulgaria
Tangxia,China
Khalīlābād,Iran
Troparëvo,Russia
Okhansk,Russia
Kepel,Indonesia
Shchëkino,Russia
Caçapava,Brazil
Sydney,Australia
Ariguaní,Colombia
Tyoply Stan,Russia
Saint-Marcellin,France
Boyeros,Cuba
